scan_id,timestamp,lat,lon,ssid,mac,rssi
194,2026-02-17 10:46:07,35.51877,11.03455,Hexabyte744,1C:64:99:A6:89:A1,-83
194,2026-02-17 10:46:07,35.51877,11.03455,ORANGE_D3F3,EC:55:1C:CC:D3:FC,-85
194,2026-02-17 10:46:07,35.51877,11.03455,PIX-LINK,90:91:64:25:C9:45,-85
194,2026-02-17 10:46:07,35.51877,11.03455,sunways-WiFi0730211B,44:2A:8F:F8:43:50,-86
193,2026-02-17 10:46:02,35.51881,11.03452,MAXBOX5G_6D34,A2:C3:1D:34:6D:B7,-76
193,2026-02-17 10:46:02,35.51881,11.03452,AP_M32531-72210239P,28:56:2F:57:77:D5,-72
193,2026-02-17 10:46:02,35.51881,11.03452,AP_M32531-7221023FP,28:56:2F:56:A8:E1,-80
193,2026-02-17 10:46:02,35.51881,11.03452,PIX-LINK,90:91:64:25:C9:45,-85
193,2026-02-17 10:46:02,35.51881,11.03452,TOPNET_7470,3C:84:6A:5F:74:70,-79
193,2026-02-17 10:46:02,35.51881,11.03452,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-80
193,2026-02-17 10:46:02,35.51881,11.03452,sunways-WiFi0730211B,44:2A:8F:F8:43:50,-86
192,2026-02-17 10:45:57,35.51884,11.03449,AP_M32531-72210239P,28:56:2F:57:77:D5,-72
192,2026-02-17 10:45:57,35.51884,11.03449,MAXBOX5G_6D34,A2:C3:1D:34:6D:B7,-79
192,2026-02-17 10:45:57,35.51884,11.03449,AP_M32531-7221023FP,28:56:2F:56:A8:E1,-80
192,2026-02-17 10:45:57,35.51884,11.03449,sunways-WiFi0730211B,44:2A:8F:F8:43:50,-86
192,2026-02-17 10:45:57,35.51884,11.03449,ORANGE_DEE8,24:26:D6:F5:DE:F0,-87
192,2026-02-17 10:45:57,35.51884,11.03449,TOPNET_7470,3C:84:6A:5F:74:70,-79
192,2026-02-17 10:45:57,35.51884,11.03449,ORANGE_D3F3,EC:55:1C:CC:D3:FC,-85
191,2026-02-17 10:45:52,35.51892,11.03444,AP_M32531-72210239P,28:56:2F:57:77:D5,-72
191,2026-02-17 10:45:52,35.51892,11.03444,MAXBOX5G_6D34,A2:C3:1D:34:6D:B7,-79
191,2026-02-17 10:45:52,35.51892,11.03444,ORANGE_DEE8,24:26:D6:F5:DE:F0,-87
191,2026-02-17 10:45:52,35.51892,11.03444,TOPNET_7470,3C:84:6A:5F:74:70,-81
191,2026-02-17 10:45:52,35.51892,11.03444,TP-LINK_4C32A4,E8:DE:27:4C:32:A4,-81
190,2026-02-17 10:45:47,35.51886,11.03449,AP_M32531-72210239P,28:56:2F:57:77:D5,-72
190,2026-02-17 10:45:47,35.51886,11.03449,MAXBOX5G_6D34,A2:C3:1D:34:6D:B7,-79
190,2026-02-17 10:45:47,35.51886,11.03449,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-86
190,2026-02-17 10:45:47,35.51886,11.03449,TT_4D28,1C:61:B4:30:4D:28,-88
189,2026-02-17 10:45:42,35.51838,11.03481,AP_M32531-72210239P,28:56:2F:57:77:D5,-70
189,2026-02-17 10:45:42,35.51838,11.03481,TT_4D28,1C:61:B4:30:4D:28,-84
189,2026-02-17 10:45:42,35.51838,11.03481,MAXBOX5G_6D34,A2:C3:1D:34:6D:B7,-84
188,2026-02-17 10:45:37,35.51838,11.03481,AP_M32531-72210239P,28:56:2F:57:77:D5,-70
188,2026-02-17 10:45:37,35.51838,11.03481,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-80
188,2026-02-17 10:45:37,35.51838,11.03481,ORANGE_DEE8,24:26:D6:F5:DE:F0,-83
187,2026-02-17 10:45:32,35.5183,11.03499,ORANGE_DEE8,24:26:D6:F5:DE:F0,-83
187,2026-02-17 10:45:32,35.5183,11.03499,AP_M32531-72210239P,28:56:2F:57:77:D5,-70
187,2026-02-17 10:45:32,35.5183,11.03499,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-80
187,2026-02-17 10:45:32,35.5183,11.03499,MAXBOX5G_6D34,A2:C3:1D:34:6D:B7,-84
186,2026-02-17 10:45:27,35.51836,11.03481,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-80
186,2026-02-17 10:45:27,35.51836,11.03481,ORANGE_DEE8,24:26:D6:F5:DE:F0,-83
186,2026-02-17 10:45:27,35.51836,11.03481,AP_M32531-72210239P,28:56:2F:57:77:D5,-80
185,2026-02-17 10:45:22,35.51834,11.03423,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-76
185,2026-02-17 10:45:22,35.51834,11.03423,AP_M32531-72210239P,28:56:2F:57:77:D5,-82
185,2026-02-17 10:45:22,35.51834,11.03423,ORANGE_DEE8,24:26:D6:F5:DE:F0,-88
185,2026-02-17 10:45:22,35.51834,11.03423,MAXBOX5G_6D34,A2:C3:1D:34:6D:B7,-88
185,2026-02-17 10:45:22,35.51834,11.03423,TT_4D28,1C:61:B4:30:4D:28,-90
184,2026-02-17 10:45:17,35.51801,11.03478,AP_M32531-72210239P,28:56:2F:57:77:D5,-88
184,2026-02-17 10:45:17,35.51801,11.03478,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-72
184,2026-02-17 10:45:17,35.51801,11.03478,ORANGE_DEE8,24:26:D6:F5:DE:F0,-90
184,2026-02-17 10:45:17,35.51801,11.03478,MAXBOX5G_6D34,A2:C3:1D:34:6D:B7,-90
183,2026-02-17 10:45:12,35.51799,11.03475,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-72
183,2026-02-17 10:45:12,35.51799,11.03475,AP_M32531-72210239P,28:56:2F:57:77:D5,-88
182,2026-02-17 10:45:07,35.5181,11.03475,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-72
182,2026-02-17 10:45:07,35.5181,11.03475,AP_M32531-72210239P,28:56:2F:57:77:D5,-88
181,2026-02-17 10:45:02,35.51803,11.03449,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-79
179,2026-02-17 10:44:52,35.51803,11.03454,Ooredoo-X17M-E35B9A,FC:3F:FC:E3:5B:9E,-70
179,2026-02-17 10:44:52,35.51803,11.03454,AP_M32531-72210239P,28:56:2F:57:77:D5,-88
